year,price,origin,destination,distance
"Dec
2020",217.16,BOS,PHL,280
"Dec
2020",143.16,BOS,PHL,280
"Dec
2020",219.16,BOS,PHL,280
"Jan
2021",179.16,BOS,PHL,280
"Jan
2021",133.16,BOS,PHL,280
"Feb
2021",84.16,BOS,PHL,280
"Apr
2021",116.38,BOS,PHL,280
"Apr
2021",147.38,BOS,PHL,280
"Apr
2021",459.16,BOS,PHL,280
"May
2021",201.14,BOS,PHL,280
"May
2021",378.36,BOS,PHL,280
"Jun
2021",214.36,BOS,PHL,280
"Jul
2021",752.37,BOS,PHL,280
"Jul
2021",348.37,BOS,PHL,280
"Aug
2021",687.36,BOS,PHL,280
"Aug
2021",702.34,BOS,PHL,280
"Aug
2021",298.36,BOS,PHL,280
"Sep
2021",278.36,BOS,PHL,280
"Sep
2021",193.36,BOS,PHL,280
year,price,origin,destination,distance
"Nov
2020",349.7,BOS,PHX,2300
"Nov
2020",357.08,BOS,PHX,2300
"Nov
2020",395.68,BOS,PHX,2300
"Nov
2020",258.2,BOS,PHX,2300
"Dec
2020",258.2,BOS,PHX,2300
"Dec
2020",291.7,BOS,PHX,2300
"Dec
2020",301.7,BOS,PHX,2300
"Dec
2020",644.2,BOS,PHX,2300
"Jan
2021",418.35,BOS,PHX,2300
"Feb
2021",434.93,BOS,PHX,2300
"Mar
2021",392.3,BOS,PHX,2300
"Mar
2021",658.01,BOS,PHX,2300
"Mar
2021",629.2,BOS,PHX,2300
"Apr
2021",323,BOS,PHX,2300
"Apr
2021",159.55,BOS,PHX,2300
"Apr
2021",281.16,BOS,PHX,2300
"May
2021",315.4,BOS,PHX,2300
"May
2021",423.6,BOS,PHX,2300
"Jun
2021",353,BOS,PHX,2300
"Jun
2021",392.4,BOS,PHX,2300
"Jul
2021",629.84,BOS,PHX,2300
"Aug
2021",607.57,BOS,PHX,2300
"Sep
2021",599.6,BOS,PHX,2300
"Sep
2021",368.41,BOS,PHX,2300
year,price,origin,destination,distance
"Nov
2020",197.16,BOS,SAN,2588
"Nov
2020",282.2,BOS,SAN,2588
"Nov
2020",348.2,BOS,SAN,2588
"Nov
2020",197.16,BOS,SAN,2588
"Dec
2020",177.16,BOS,SAN,2588
"Dec
2020",250.16,BOS,SAN,2588
"Dec
2020",333.16,BOS,SAN,2588
"Jan
2021",231.15,BOS,SAN,2588
"Jan
2021",185.16,BOS,SAN,2588
"Jan
2021",177.16,BOS,SAN,2588
"Jan
2021",435.2,BOS,SAN,2588
"Feb
2021",177.16,BOS,SAN,2588
"Feb
2021",364.41,BOS,SAN,2588
"Mar
2021",416.7,BOS,SAN,2588
"Mar
2021",431.7,BOS,SAN,2588
"Apr
2021",342.39,BOS,SAN,2588
"Apr
2021",85.39,BOS,SAN,2588
"May
2021",299.6,BOS,SAN,2588
"Jun
2021",422.6,BOS,SAN,2588
